nome,email,cidade,estado
Srta. Gabrielly Pereira,vinicius27@gmail.com,Cardoso,AP
Ana Luiza Moura,melomaria-clara@oliveira.br,Gomes,RN
João Gabriel Cavalcanti,marcelarocha@cavalcanti.br,Freitas,RJ
Kevin Araújo,da-matamarcelo@ig.com.br,Mendes da Praia,AC
Danilo Nunes,oliviaaraujo@souza.br,Ramos Alegre,CE
Dr. Thiago Martins,da-costaian@cardoso.br,Rodrigues dos Dourados,PA
Enrico Silva,ana-julia14@souza.org,das Neves,MG
Ana Carolina Almeida,kevin24@martins.com,Sales,SC
Camila Costela,claramoraes@gmail.com,Barbosa das Pedras,AC
Ana Julia Lopes,speixoto@gmail.com,Aragão Alegre,CE
Laís Moreira,pcavalcanti@nunes.com,Lima Alegre,ES
Sr. Breno Silva,sophiemonteiro@da.net,da Conceição,GO
Davi da Costa,sophiasales@porto.br,da Costa dos Dourados,AP
Laura Jesus,moraesclarice@gmail.com,Rezende dos Dourados,AL
João Lucas Gomes,santosvitor@vieira.com,da Mota de Martins,RN
Lívia da Costa,zcavalcanti@cardoso.com,Farias,RR
Laura Souza,vinicius46@mendes.com,Campos Alegre,AM
Nicole Nogueira,mirella92@yahoo.com.br,da Conceição,MS
Pietro Novaes,limahelena@melo.com,Pereira,PE
Sr. João Guilherme Lima,rodrigorodrigues@das.com,Castro do Galho,SP
Sarah Souza,sofia92@da.com,da Cunha,SC
Amanda Oliveira,ana-luizagomes@ig.com.br,Dias de Teixeira,ES
Yuri Ribeiro,maria-fernanda97@gomes.br,da Cruz do Oeste,SE
Beatriz Fernandes,jmoura@silveira.org,da Cruz,GO
Maitê da Conceição,das-nevesana-sophia@yahoo.com.br,Peixoto,AL
Lívia Moura,xcardoso@araujo.br,Cunha,AL
Lucas Cunha,falmeida@gmail.com,da Rosa Grande,PI
Dra. Marcela Pereira,lucas41@duarte.br,Correia,TO
Maria Vitória Teixeira,melissada-conceicao@pereira.com,Duarte Verde,PA
Raul Cardoso,souzafernanda@bol.com.br,Nogueira,PR
Pedro Miguel Nogueira,rafaela05@gmail.com,Duarte do Campo,SP
Sarah Melo,moraesfernanda@da.br,da Mata de Cunha,AP
Sra. Alícia Gonçalves,da-pazbruno@lima.br,Fernandes de Azevedo,SP
Caroline Gomes,melomarcelo@gmail.com,Pinto das Flores,SC
Joana Mendes,xsales@cardoso.br,Pinto,RN
Marcelo Gonçalves,cardosopietro@ig.com.br,Lima dos Dourados,RN
Sra. Bárbara Pires,ubarbosa@yahoo.com.br,Freitas do Norte,AP
Maysa Nunes,benicioda-conceicao@bol.com.br,Azevedo de Costela,AP
Yago Moreira,mazevedo@hotmail.com,Moura de Moura,PB
Murilo Cunha,plopes@yahoo.com.br,Correia,AC
Srta. Luna Silveira,ferreirasophie@yahoo.com.br,da Rosa de Gomes,RR
Catarina Costa,portojoao-felipe@carvalho.br,Campos da Prata,PI
Heitor da Cruz,daniela31@cunha.com,Vieira Verde,MS
Yasmin Vieira,campospedro-henrique@rocha.br,Cardoso Grande,MT
Ana Julia Porto,fernando89@hotmail.com,Pinto,PE
Cauã Silveira,isaac25@monteiro.com,da Paz da Prata,GO
Pedro Lucas Jesus,juliada-costa@mendes.com,Ferreira,RS
Vitor Peixoto,sviana@rocha.net,Jesus dos Dourados,AP
Srta. Bruna Pires,nrezende@yahoo.com.br,Lopes,RR
Dr. João Costela,lopeslucca@uol.com.br,Fogaça,PB
Danilo Castro,vitor96@da.br,da Cruz,PR
Letícia Sales,faragao@uol.com.br,Duarte de da Rosa,RJ
Sr. Benjamin Gomes,igomes@gmail.com,Pinto,BA
Thomas Moreira,bryan60@bol.com.br,Moreira,PI
Breno Nogueira,lais91@hotmail.com,Novaes,MS
Dr. Vitor Gabriel da Conceição,csantos@azevedo.br,Silveira de Ramos,BA
Maitê Cunha,igor69@ig.com.br,Mendes do Galho,TO
Maria Alice Rodrigues,xaragao@yahoo.com.br,Peixoto,RJ
